model,genre,midiset,audioset,piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
OaF,Rock,genre,disklavier,Rock_03,0.8812993482062423,0.9337313321106412,0.9067580215726008,0.8738948348068869,0.9174401563263312,0.8951382268827455,0.7961842717543043,0.835857352222765,0.8155386081982842,0.7664029781293625,0.8045920859794822,0.7850333651096283,0.7021870637505817,0.7371763556424035,0.719256434699714
OaF,Rock,genre,disklavier,Rock_04,0.888188403019967,0.7588199662753957,0.8184233991648201,0.9198542805100182,0.815831987075929,0.8647260273972603,0.604735883424408,0.5363489499192245,0.5684931506849314,0.4735883424408014,0.420032310177706,0.4452054794520548,0.3442622950819672,0.3053311793214863,0.3236301369863014
OaF,Rock,genre,disklavier,Rock_05,0.9233709631323236,0.7754061229693852,0.8429446152090077,0.9547657512116317,0.8954545454545455,0.9241594996090696,0.7382875605815832,0.6924242424242424,0.7146207974980454,0.592891760904685,0.556060606060606,0.5738858483189992,0.4394184168012924,0.4121212121212121,0.4253322908522282
OaF,Rock,genre,disklavier,Rock_06,0.9165355000638108,0.8803939195815627,0.8981012526313595,0.9912554653341662,0.9396092362344582,0.964741641337386,0.768894440974391,0.7288336293664891,0.7483282674772037,0.750156152404747,0.7110716400236826,0.7300911854103342,0.5865084322298564,0.5559502664298401,0.5708206686930091
OaF,Rock,genre,disklavier,Rock_07,0.9135088820235566,0.889799228888471,0.9014981897865854,0.97224709042077,0.9679144385026738,0.9700759267530148,0.8111011638316921,0.8074866310160428,0.8092898615453327,0.6463742166517458,0.64349376114082,0.644930772666369,0.5452103849597135,0.5427807486631016,0.5439928539526574
OaF,Rock,genre,disklavier,Rock_08,0.9780901376904192,0.8872377280837708,0.930451410230144,0.9982788296041308,0.9177215189873418,0.9563066776586976,0.8640275387263339,0.7943037974683544,0.8276999175597692,0.7263339070567987,0.6677215189873418,0.6957955482275351,0.6316695352839932,0.5806962025316456,0.6051112943116241
OaF,Rock,genre,disklavier,Rock_09,0.9487152548478116,0.7678506353101237,0.848754615642833,0.9500594530321046,0.9345029239766082,0.9422169811320754,0.7288941736028538,0.7169590643274854,0.7228773584905661,0.7419738406658739,0.7298245614035088,0.7358490566037735,0.5766944114149821,0.5672514619883041,0.5719339622641509
OaF,Rock,genre,disklavier,Rock_10,0.9590518337657052,0.8595003646973013,0.906551268181272,0.9876923076923076,0.8469656992084432,0.911931818181818,0.8215384615384616,0.7044854881266491,0.7585227272727273,0.7184615384615385,0.6160949868073878,0.6633522727272728,0.5723076923076923,0.4907651715039577,0.5284090909090909
OaF,Soul,genre,disklavier,Soul_01,0.9650057764692728,0.9596175464169684,0.9623041189222667,0.9832904884318766,0.9770114942528736,0.980140935297886,0.9190231362467868,0.913154533844189,0.9160794362588084,0.7403598971722365,0.735632183908046,0.737988468930173,0.7043701799485861,0.6998722860791826,0.7021140294682895
OaF,Soul,genre,disklavier,Soul_02,0.93961776529896,0.7102340556379554,0.8089799674479614,0.9252669039145908,0.7152682255845942,0.8068269976726145,0.6316725978647687,0.4883081155433287,0.5508145849495734,0.4306049822064057,0.3328748280605227,0.3754848719937936,0.2900355871886121,0.2242090784044016,0.2529092319627619
OaF,Soul,genre,disklavier,Soul_03,0.9134144953919672,0.8658533662488316,0.8889982589650993,0.969626168224299,0.9367945823927766,0.9529276693455798,0.7511682242990654,0.7257336343115124,0.7382319173363949,0.3446261682242991,0.3329571106094808,0.338691159586682,0.2546728971962617,0.2460496613995485,0.2502870264064294
OaF,Soul,genre,disklavier,Soul_04,0.8792455763102671,0.7708451631953119,0.8214847626655047,0.9488372093023256,0.7838616714697406,0.8584955286691216,0.5790697674418605,0.4783861671469741,0.5239347711730667,0.6918604651162791,0.5715658021133525,0.625986322987901,0.4593023255813953,0.3794428434197887,0.4155707522356655
OaF,Soul,genre,disklavier,Soul_05,0.9761372465077932,0.6379689119170985,0.7716285744724855,0.9662921348314608,0.9684684684684683,0.967379077615298,0.8426966292134831,0.8445945945945946,0.843644544431946,0.6134831460674157,0.6148648648648649,0.6141732283464567,0.5573033707865168,0.5585585585585585,0.5579302587176602
OaF,Soul,genre,disklavier,Soul_06,0.9550686539737636,0.7721504621987455,0.8539237386760378,0.9708333333333332,0.8062283737024222,0.8809073724007561,0.6388888888888888,0.5305651672433679,0.5797101449275363,0.8125,0.6747404844290658,0.7372400756143668,0.5319444444444444,0.4417531718569781,0.4826717076244486
OaF,Soul,genre,disklavier,Soul_07,0.908516117830893,0.9261641027153792,0.9172552313479164,0.9841605068637804,0.9282868525896414,0.955407483341876,0.8120380147835269,0.7659362549800797,0.788313685289595,0.7180570221752904,0.6772908366533864,0.6970784213223988,0.617740232312566,0.5826693227091634,0.5996924654023578
OaF,Soul,genre,disklavier,Soul_08,0.9713591640691728,0.6995558324945278,0.8133507330642876,0.97429718875502,0.8978534418948927,0.9345146379044684,0.6730923694779116,0.6202812731310141,0.6456086286594762,0.7534136546184739,0.694300518134715,0.7226502311248073,0.5333333333333333,0.4914877868245744,0.5115562403697996
OaF,Soul,genre,disklavier,Soul_09,0.8943467665599258,0.9252229352446038,0.9095228829788324,0.9875346260387812,0.9609164420485176,0.9740437158469945,0.8019390581717452,0.7803234501347709,0.7909836065573771,0.6662049861495845,0.6482479784366577,0.657103825136612,0.5401662049861495,0.5256064690026954,0.5327868852459016
OaF,Soul,genre,disklavier,Soul_10,0.8937819538482796,0.8849289955399896,0.8893334433261838,0.9099485420240138,0.970722781335773,0.9393536963258078,0.7161234991423671,0.7639524245196706,0.7392651615759185,0.4202401372212693,0.4483074107959743,0.4338202744577246,0.330188679245283,0.3522415370539798,0.3408587870739265
OaF,World,genre,disklavier,World_01,0.9648723290857116,0.795128768217209,0.8718150774888364,0.9840182648401826,0.931891891891892,0.957245974458634,0.839041095890411,0.7945945945945946,0.8162132148806218,0.9143835616438356,0.865945945945946,0.889505830094392,0.7773972602739726,0.7362162162162162,0.7562465297057189
