model,genre,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
OaF,Folk,genre,disklavier,Folk_07,0.3713855200028299,0.4153241919901247,0.4840097959767175,0.3811384483596371,0.4463696137701915,0.8060767674785952,0.291506235725537,0.4106717931836085,0.3978756769808043
OaF,Folk,genre,disklavier,Folk_08,0.2372415097819366,0.0219336863266363,0.1623151155209555,0.3173060703237286,0.4673280543182773,0.5526864784862384,0.0852556064785024,0.4570942216770776,0.0333200011415185
OaF,Folk,genre,disklavier,Folk_09,0.4141702125720871,0.0647795218294197,0.3177335174566911,0.4502306204421145,0.177053299925707,0.7905260388169923,0.1118290608899519,0.8504444229396714,0.0102637012728319
OaF,Folk,genre,disklavier,Folk_10,0.0116912766094691,0.0780091408520995,-0.0053405755398025,0.1532196668373961,0.4757102347918002,0.7325788027523342,0.2081024287833085,0.2377418520214667,0.2004973149651412
OaF,Jazz,genre,disklavier,Jazz_01,0.3590344331553137,0.201487952887691,-0.3539792366763092,0.4183316689872985,0.3569467475288034,0.7266244938119721,0.07755946679305,0.4015699531215954,0.6289085683192159
OaF,Jazz,genre,disklavier,Jazz_02,0.1057692178733391,0.023614978377156,0.1274648795425237,0.5446123622173928,0.3953292622612178,0.8372999342746181,0.733467968259012,0.7997943152512874,0.4191633725180418
OaF,Jazz,genre,disklavier,Jazz_03,0.1978069239304769,0.3018946734439544,0.008198847747206,0.5505727184671732,0.3754721412876708,0.3892149141262063,0.3589630501640519,0.3961178782129013,-0.1106524933881435
OaF,Jazz,genre,disklavier,Jazz_04,0.2236305910516335,0.2282546030950728,0.2925680753802244,0.587136503616047,0.3695938875467543,0.7622983299604639,0.1856293336004408,0.7123254652113093,0.3033860745440369
OaF,Jazz,genre,disklavier,Jazz_05,0.240717194545145,0.1475974985798582,0.0862923508013566,0.6707993183318559,0.4807089084604091,0.8287798746867029,0.0506484570959608,0.0104746056242572,0.361629034563393
OaF,Jazz,genre,disklavier,Jazz_06,0.078259828298893,0.2289353977287786,0.0683761323781027,0.3748306603533305,0.363593171101209,0.724208044565829,0.2395496116152342,0.8199140576246969,0.2314842149147425
OaF,Jazz,genre,disklavier,Jazz_07,0.1300571035257065,0.1591326544648508,0.0761173727518209,0.4053420300893625,0.4060786977378748,0.6240932061548911,0.1627996762147663,0.4071745438174172,0.1050652918750389
OaF,Jazz,genre,disklavier,Jazz_08,0.1608743165292182,0.0503029952291354,0.1952018617059195,0.4562878383638064,0.4157194718966649,0.7916150440981747,-0.1028210973551186,0.0782218340099952,0.3454558939980798
OaF,Jazz,genre,disklavier,Jazz_09,0.2787275226956055,0.4090820387679533,0.2361937954143912,0.2834888529302005,0.4728662857524454,0.704868805875025,0.2317749210195263,0.5332377269343589,0.0810457979704377
OaF,Jazz,genre,disklavier,Jazz_10,0.5131259254992723,0.1048569747673084,0.6413326812042802,0.3304499401131444,0.2776882052364242,0.8171965888302766,-0.7397451031143137,0.6000520312334797,0.5045560099796298
OaF,Latin,genre,disklavier,Latin_01,0.3712757479737828,0.3594425527249553,0.3901560510260343,0.550882636121504,0.4126098706548153,0.6065173847730342,0.1641820196194085,0.5662723923591063,0.5755876455007958
OaF,Latin,genre,disklavier,Latin_02,0.1161098740337529,0.0832722677633468,0.1210520437485657,0.4134462852501495,0.4883256611735531,0.6013600894411744,0.210950624799324,0.2916271522245212,0.4172098828811234
OaF,Latin,genre,disklavier,Latin_03,0.1462517793874448,0.5204096189587722,0.0862448325335034,0.3267939163475343,0.547574712354718,0.8969221762218595,0.8331747777570299,0.988939081235244,0.204652709810498
OaF,Latin,genre,disklavier,Latin_04,0.069981630676571,0.04783162013217,0.0175983398994481,0.4631926524161372,0.3776494474262695,0.7104101519347364,0.2948968775379892,0.6185718500051923,0.0457645581522868
OaF,Latin,genre,disklavier,Latin_05,0.148022564223805,0.0001268700862571,0.382591887280241,0.5803527484816938,0.3090554366183057,0.988103488110726,0.9086240825030494,0.5516253937175841,0.7253155277118527
OaF,Latin,genre,disklavier,Latin_06,0.4094624265237885,0.2279674496246563,0.3646367014010737,0.681326773296649,0.7599455538343771,0.6954611413194917,0.4004781823393732,0.4505147688595591,-0.1257244899678745
OaF,Latin,genre,disklavier,Latin_07,0.2367287814036572,0.1917625656253241,0.2944494561281143,0.1360571108636598,0.0007388595521478,0.6585888613268478,0.1703805811555119,0.3782148638502092,0.2821670831529025
OaF,Latin,genre,disklavier,Latin_08,0.421955784969262,0.391945538239559,0.4120149836062857,0.5569739607922958,0.6034242353286564,0.6294601847303019,0.2860875781129885,-0.0589456153383129,0.1878864986335919
OaF,Latin,genre,disklavier,Latin_09,0.1440397934819763,0.4690862617664528,0.3136373902930272,0.5505063214120667,0.3775059913701687,0.8012149707584888,0.2638893584358888,0.7414100806727625,0.7810102410918902
OaF,Latin,genre,disklavier,Latin_10,-0.2409825843298861,-0.1928136298857106,-0.0103765504087691,0.286544129058314,0.3938079021285486,0.8295149147395015,0.3834569776690462,0.6912711121077996,0.290266432833321
OaF,Pop,genre,disklavier,Pop_01,0.4145670272030066,0.5701043384095159,0.49222998878772,0.2631385620667549,0.4149271514514731,0.7135238773361494,0.905358755422584,0.9562816339625346,0.6765187388571531
OaF,Pop,genre,disklavier,Pop_02,0.2760623508839386,0.0056268498119962,0.1248726394932188,0.5157526838520667,0.5175318120858362,0.9099033704534624,0.4279960927605976,0.841543517714413,0.1180606534748203
OaF,Pop,genre,disklavier,Pop_03,0.3010600757864783,0.0245988289810852,0.2322591431612567,0.4780031188288215,0.3961558575397662,0.7621000991640415,0.1299107454548989,0.2361443836559249,0.1383798725577657
OaF,Pop,genre,disklavier,Pop_04,0.2739572970692064,0.0083002808040398,0.4186515158474491,0.343183844537862,0.1826752566665324,0.678555763176357,0.124345185963872,0.0438484257474359,0.4133075612066741
OaF,Pop,genre,disklavier,Pop_05,0.0790795564087788,0.1354074052649679,0.1124745585886586,0.6696097856359928,0.6493248080368417,0.8312887507375594,0.2909845216597203,0.4246242149042333,0.1355776885615935
OaF,Pop,genre,disklavier,Pop_06,0.2603597681885639,0.6594382191325261,0.2001431082894446,0.759952663739104,0.8346647380722504,0.8165429069790039,0.1487012014750149,0.5657547608859596,0.473192019700473
OaF,Pop,genre,disklavier,Pop_07,0.9042506623201084,0.1389243851128746,0.7658017891558149,0.847925037057526,0.73456233623341,0.6025976020478062,0.1792462378047778,0.2226449614434363,0.8839718057435734
OaF,Pop,genre,disklavier,Pop_08,0.7215753907186747,0.1693311104350602,0.6875778308509051,0.5078244059026292,0.7286490709113136,0.9395274625744952,0.9347037045310108,0.9880240676772492,0.6231457621671844
OaF,Pop,genre,disklavier,Pop_09,0.1341955388761669,0.1067732345921197,0.2281552514053861,0.6785839769373045,0.5787912525705367,0.8777572910870103,0.3407112589655081,0.7690568432927369,0.4524707335495888
