model,polyphony,dynamics,midiset,audioset,piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
Kong,13,0,random,disklavier,RANDOM_P13_D0,0.0982083823643997,0.1526637185912041,0.0866432093703063,0.0503398655772636,0.0659630476953534,0.0130219375512213,0.1713663613705365,-0.381323559344177,0.4978723766214772
Kong,13,1,random,disklavier,RANDOM_P13_D1,0.158792252195089,0.1062159724703226,0.1653244783509135,0.139281049204828,0.0825042963249391,0.1056878470953967,0.1405068696277306,-0.2093066858576966,0.2470307695164763
Kong,13,2,random,disklavier,RANDOM_P13_D2,0.1009843494438975,0.0833317474951211,0.0070079380302819,-0.023414146469793,0.1317646239661338,0.000695874320782,0.1460203994119681,0.2728202228830105,0.224980653513127
Kong,14,0,random,disklavier,RANDOM_P14_D0,0.1327724765762496,0.106438754430069,0.1120168380714455,0.1861604000340255,0.0103120214263372,-0.029880614783598,0.1477823840683414,-0.3903914228852768,0.5054330986941249
Kong,14,1,random,disklavier,RANDOM_P14_D1,0.1629847935118488,0.0101174099174724,0.1171761096207095,0.2237421913225559,0.1206285498193605,0.2185347505006522,0.1136379848528582,-0.0194482087837738,0.2279872713718093
Kong,14,2,random,disklavier,RANDOM_P14_D2,0.0766285490992556,0.0929125869395334,0.0194022907262071,-0.0273386224726269,0.0917097236707465,0.0636509994641196,0.1417625871858444,0.3315066961671126,0.1149669108946874
Kong,15,0,random,disklavier,RANDOM_P15_D0,0.151152973742234,0.0885502669755719,0.133085779480843,0.0100190042930051,0.0282687245759574,0.0039383189741398,0.1687265421461924,0.2838654321462096,0.5898176678306966
Kong,15,1,random,disklavier,RANDOM_P15_D1,0.1614316170979499,0.1422063712306711,0.1390354519222532,0.0592429150056353,0.1480094670785057,0.0200619465005408,0.0911509621025253,-0.1274446780968335,0.0538048961054426
Kong,15,2,random,disklavier,RANDOM_P15_D2,0.1229257179675525,0.0794720037549242,0.0670639680473164,-0.0561701722721104,0.1177845519077204,0.0323887249258577,0.1263982620856054,0.2888814204577976,0.1297851250360806
Kong,16,0,random,disklavier,RANDOM_P16_D0,0.1748393933701577,0.1146210732959786,0.1292023809203659,0.0475099674232068,0.0506620412571962,0.1016447475264003,0.1441719585458168,-0.2946786491864764,-0.4172116995506241
Kong,16,1,random,disklavier,RANDOM_P16_D1,0.1284764434675291,0.1633373114898385,0.1379160619759346,0.087528756900657,0.1361449643755716,0.097533433501853,0.1177343740421748,0.0533547927269265,0.0898039242200714
Kong,16,2,random,disklavier,RANDOM_P16_D2,0.1504294011325518,0.1441970643153527,0.1049597997769395,-0.0652754441567747,0.1339526258028444,0.0932098307463953,0.1729496180990783,0.06005499990108,0.2079023536084245
Kong,17,0,random,disklavier,RANDOM_P17_D0,0.2018345832112537,0.1322493782480668,0.0843273827103043,0.1124135642705068,0.1132530489906929,-0.1542275340121384,0.1324157005749777,0.1367329412620375,0.4222475886064362
Kong,17,1,random,disklavier,RANDOM_P17_D1,0.1917046759036121,0.0617656018498129,0.1889789468777518,0.2148067204687917,0.1666479143629506,0.0858542589789923,0.0876686958001861,0.1143219700842133,0.1777384342140032
Kong,17,2,random,disklavier,RANDOM_P17_D2,0.124884496572284,0.1105467847036762,0.0690545642750346,-0.070061069865821,0.170610487913373,0.0384256126230039,0.1095206291373329,0.1928400091241567,0.0467580489040055
